time,open,high,low,close,CVD (Ouverture),CVD (Haut,CVD (Bas),CVD (Fermer)
2025-07-10T09:00:00+01:00,0.18172,0.18273,0.18151,0.1826,NaN,NaN,NaN,NaN
2025-07-10T10:00:00+01:00,0.1826,0.18272,0.18116,0.18129,NaN,NaN,NaN,NaN
2025-07-10T11:00:00+01:00,0.18129,0.18145,0.18042,0.18129,NaN,NaN,NaN,NaN
2025-07-10T12:00:00+01:00,0.18129,0.18129,0.18044,0.18064,NaN,NaN,NaN,NaN
2025-07-10T13:00:00+01:00,0.18064,0.18065,0.17962,0.18014,NaN,NaN,NaN,NaN
2025-07-10T14:00:00+01:00,0.18014,0.18099,0.17943,0.17986,NaN,NaN,NaN,NaN
2025-07-10T15:00:00+01:00,0.17986,0.18062,0.17889,0.18016,NaN,NaN,NaN,NaN
2025-07-10T16:00:00+01:00,0.18016,0.18082,0.17919,0.18059,NaN,NaN,NaN,NaN
2025-07-10T17:00:00+01:00,0.18059,0.18435,0.18018,0.18369,NaN,NaN,NaN,NaN
2025-07-10T18:00:00+01:00,0.1837,0.1866,0.18315,0.18612,NaN,NaN,NaN,NaN
2025-07-10T19:00:00+01:00,0.18613,0.18748,0.18401,0.18547,NaN,NaN,NaN,NaN
2025-07-10T20:00:00+01:00,0.18548,0.18673,0.18521,0.18575,NaN,NaN,NaN,NaN
2025-07-10T21:00:00+01:00,0.18575,0.18736,0.18572,0.18723,NaN,NaN,NaN,NaN
2025-07-10T22:00:00+01:00,0.18722,0.19326,0.18669,0.19177,NaN,NaN,NaN,NaN
2025-07-10T23:00:00+01:00,0.19178,0.19415,0.19137,0.19396,NaN,NaN,NaN,NaN
2025-07-11T00:00:00+01:00,0.19395,0.19641,0.19304,0.19507,NaN,NaN,NaN,NaN
2025-07-11T01:00:00+01:00,0.19508,0.1956,0.19115,0.19269,0,NaN,NaN,NaN
2025-07-11T02:00:00+01:00,0.19269,0.19599,0.19243,0.19578,NaN,NaN,NaN,NaN
2025-07-11T03:00:00+01:00,0.19578,0.1992,0.19517,0.19889,NaN,NaN,NaN,NaN
2025-07-11T04:00:00+01:00,0.19889,0.19918,0.19708,0.1983,NaN,NaN,NaN,NaN
2025-07-11T05:00:00+01:00,0.1983,0.19876,0.19711,0.19842,NaN,NaN,NaN,NaN
2025-07-11T06:00:00+01:00,0.19842,0.20139,0.19818,0.1983,NaN,NaN,NaN,NaN
2025-07-11T07:00:00+01:00,0.19831,0.19987,0.19575,0.19664,NaN,NaN,NaN,NaN
2025-07-11T08:00:00+01:00,0.19666,0.19847,0.19498,0.19646,NaN,NaN,NaN,NaN
2025-07-11T09:00:00+01:00,0.19647,0.19802,0.19645,0.19765,NaN,NaN,NaN,NaN
2025-07-11T10:00:00+01:00,0.19766,0.19988,0.19711,0.19887,NaN,NaN,NaN,NaN
2025-07-11T11:00:00+01:00,0.19886,0.2005,0.19816,0.19939,NaN,NaN,NaN,NaN
2025-07-11T12:00:00+01:00,0.19939,0.20039,0.19793,0.19901,NaN,NaN,NaN,NaN
2025-07-11T13:00:00+01:00,0.19902,0.20148,0.19787,0.20058,NaN,NaN,NaN,NaN
2025-07-11T14:00:00+01:00,0.20057,0.2045,0.19869,0.20278,NaN,NaN,NaN,NaN
2025-07-11T15:00:00+01:00,0.20278,0.20692,0.2012,0.2044,NaN,NaN,NaN,NaN
2025-07-11T16:00:00+01:00,0.20439,0.2094,0.20022,0.20121,NaN,NaN,NaN,NaN
2025-07-11T17:00:00+01:00,0.20122,0.20577,0.19941,0.20509,NaN,NaN,NaN,NaN
2025-07-11T18:00:00+01:00,0.20509,0.21247,0.20497,0.21081,NaN,NaN,NaN,NaN
2025-07-11T19:00:00+01:00,0.21081,0.21366,0.2107,0.21176,NaN,NaN,NaN,NaN
2025-07-11T20:00:00+01:00,0.21176,0.21315,0.20932,0.21171,NaN,NaN,NaN,NaN
2025-07-11T21:00:00+01:00,0.21169,0.21172,0.20599,0.20609,NaN,NaN,NaN,NaN
2025-07-11T22:00:00+01:00,0.2061,0.207,0.20169,0.20279,NaN,NaN,NaN,NaN
2025-07-11T23:00:00+01:00,0.20279,0.20329,0.19628,0.20077,NaN,NaN,NaN,NaN
